127.0.0.1 - - [17/Dec/2023:14:49:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:37 +0530] "GET /ENotesProject/ HTTP/1.1" 200 7126
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:37 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:37 +0530] "GET /ENotesProject/css/style.css HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:37 +0530] "GET /ENotesProject/img/bgImg.jpg HTTP/1.1" 200 27609
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:38 +0530] "GET /ENotesProject/ HTTP/1.1" 200 7126
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:42 +0530] "GET /ENotesProject/login.jsp HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:42 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:42 +0530] "GET /ENotesProject/login.jsp HTTP/1.1" 200 6819
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:52 +0530] "POST /ENotesProject/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:52 +0530] "GET /ENotesProject/home.jsp HTTP/1.1" 200 7394
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:52 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:52 +0530] "GET /ENotesProject/img/notesbg.png HTTP/1.1" 200 57967
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:52 +0530] "GET /ENotesProject/home.jsp HTTP/1.1" 200 7394
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:57 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 8496
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:57 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:57 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 8496
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:59 +0530] "GET /ENotesProject/addNotes.jsp HTTP/1.1" 200 7791
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:59 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:49:59 +0530] "GET /ENotesProject/addNotes.jsp HTTP/1.1" 200 7791
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:22 +0530] "POST /ENotesProject/AddNotesServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:22 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 9279
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:22 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:22 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 9279
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:25 +0530] "GET /ENotesProject/DeleteServlet?note_id=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:25 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 8580
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:25 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:25 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 8496
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:29 +0530] "GET /ENotesProject/DeleteServlet?note_id=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:29 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 7801
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:29 +0530] "GET /ENotesProject/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [17/Dec/2023:14:50:29 +0530] "GET /ENotesProject/showNotes.jsp HTTP/1.1" 200 7717
